tcp.srcport,tcp.dstport,tcp.flags,tcp.flags_numeric,tcp.window_size_value,type_f,type_n,series_id,instance_id
9100,52785,20,7,0,0,1,1,456
49157,52785,20,7,0,0,1,1,457
52785,4899,2,1,1024,0,1,1,458
52785,49154,2,1,1024,0,1,1,459
4899,52785,20,7,0,0,1,1,460
52785,5800,2,1,1024,0,1,1,461
49154,52785,20,7,0,0,1,1,462
52785,7,2,1,1024,0,1,1,463
5800,52785,20,7,0,0,1,1,464
7,52785,20,7,0,0,1,1,465
52785,2000,2,1,1024,0,1,1,466
52785,49156,2,1,1024,0,1,1,467
2000,52785,20,7,0,0,1,1,468
52785,5051,2,1,1024,0,1,1,469
49156,52785,20,7,0,0,1,1,470
5051,52785,20,7,0,0,1,1,471
52785,49152,2,1,1024,0,1,1,472
49152,52785,20,7,0,0,1,1,473
52785,5432,2,1,1024,0,1,1,474
52785,5190,2,1,1024,0,1,1,475
5432,52785,20,7,0,0,1,1,476
52785,465,2,1,1024,0,1,1,477
5190,52785,20,7,0,0,1,1,478
52785,179,2,1,1024,0,1,1,479
465,52785,20,7,0,0,1,1,480
52785,3000,2,1,1024,0,1,1,481
179,52785,20,7,0,0,1,1,482
52785,427,2,1,1024,0,1,1,483
3000,52785,20,7,0,0,1,1,484
427,52785,20,7,0,0,1,1,485
52785,6646,2,1,1024,0,1,1,486
52785,1029,2,1,1024,0,1,1,487
6646,52785,20,7,0,0,1,1,488
52785,8008,2,1,1024,0,1,1,489
52785,3986,2,1,1024,0,1,1,490
1029,52785,20,7,0,0,1,1,491
8008,52785,20,7,0,0,1,1,492
52785,513,2,1,1024,0,1,1,493
3986,52785,20,7,0,0,1,1,494
52785,543,2,1,1024,0,1,1,495
513,52785,20,7,0,0,1,1,496
543,52785,20,7,0,0,1,1,497
52785,26,2,1,1024,0,1,1,498
52785,32768,2,1,1024,0,1,1,499
26,52785,20,7,0,0,1,1,500
52785,144,2,1,1024,0,1,1,501
32768,52785,20,7,0,0,1,1,502
52785,5101,2,1,1024,0,1,1,503
144,52785,20,7,0,0,1,1,504
52785,6000,2,1,1024,0,1,1,505
5101,52785,20,7,0,0,1,1,506
52785,1755,2,1,1024,0,1,1,507
6000,52785,20,7,0,0,1,1,508
52785,81,2,1,1024,0,1,1,509
1755,52785,20,7,0,0,1,1,510
52785,514,2,1,1024,0,1,1,511
81,52785,20,7,0,0,1,1,512
514,52785,20,7,0,0,1,1,513
52785,1110,2,1,1024,0,1,1,514
52785,646,2,1,1024,0,1,1,515
1110,52785,20,7,0,0,1,1,516
52785,2121,2,1,1024,0,1,1,517
646,52785,20,7,0,0,1,1,518
52785,8009,2,1,1024,0,1,1,519
2121,52785,20,7,0,0,1,1,520
8009,52785,20,7,0,0,1,1,521
52785,49155,2,1,1024,0,1,1,522
52785,3128,2,1,1024,0,1,1,523
52785,6001,2,1,1024,0,1,1,524
49155,52785,20,7,0,0,1,1,525
52785,5009,2,1,1024,0,1,1,526
3128,52785,20,7,0,0,1,1,527
6001,52785,20,7,0,0,1,1,528
52785,515,2,1,1024,0,1,1,529
5009,52785,20,7,0,0,1,1,530
52785,9999,2,1,1024,0,1,1,531
515,52785,20,7,0,0,1,1,532
52785,7070,2,1,1024,0,1,1,533
9999,52785,20,7,0,0,1,1,534
52785,5631,2,1,1024,0,1,1,535
7070,52785,20,7,0,0,1,1,536
52785,8081,2,1,1024,0,1,1,537
5631,52785,20,7,0,0,1,1,538
52785,389,2,1,1024,0,1,1,539
8081,52785,20,7,0,0,1,1,540
389,52785,20,7,0,0,1,1,541
52785,5060,2,1,1024,0,1,1,542
52785,5666,2,1,1024,0,1,1,543
5060,52785,20,7,0,0,1,1,544
5666,52785,20,7,0,0,1,1,545
35767,7,2,1,31337,1,0,1,546
7,35767,20,7,0,0,1,1,547
35768,7,16,2,32768,1,0,1,548
7,35768,4,6,0,0,1,1,549
35769,7,41,10,65535,1,0,1,550
7,35769,20,7,0,0,1,1,551
36023,7,2,1,31337,1,0,1,552
7,36023,20,7,0,0,1,1,553
36024,7,16,2,32768,1,0,1,554
7,36024,4,6,0,0,1,1,555
36025,7,41,10,65535,1,0,1,556
7,36025,20,7,0,0,1,1,557
39976,995,2,1,1024,0,1,1,558
39976,53,2,1,1024,0,1,1,559
39976,3389,2,1,1024,0,1,1,560
39976,143,2,1,1024,0,1,1,561
39976,445,2,1,1024,0,1,1,562
39976,80,2,1,1024,0,1,1,563
39976,8080,2,1,1024,0,1,1,564
39976,587,2,1,1024,0,1,1,565
39976,443,2,1,1024,0,1,1,566
39976,993,2,1,1024,0,1,1,567
995,39976,20,7,0,0,1,1,568
53,39976,20,7,0,0,1,1,569
3389,39976,20,7,0,0,1,1,570
143,39976,20,7,0,0,1,1,571
445,39976,20,7,0,0,1,1,572
80,39976,20,7,0,0,1,1,573
8080,39976,20,7,0,0,1,1,574
587,39976,20,7,0,0,1,1,575
443,39976,20,7,0,0,1,1,576
993,39976,20,7,0,0,1,1,577
39976,8888,2,1,1024,0,1,1,578
39976,3306,2,1,1024,0,1,1,579
39976,1025,2,1,1024,0,1,1,580
39976,135,2,1,1024,0,1,1,581
39976,110,2,1,1024,0,1,1,582
39976,111,2,1,1024,0,1,1,583
39976,113,2,1,1024,0,1,1,584
8888,39976,20,7,0,0,1,1,585
3306,39976,20,7,0,0,1,1,586
1025,39976,20,7,0,0,1,1,587
39976,199,2,1,1024,0,1,1,588
39976,22,2,1,1024,0,1,1,589
39976,25,2,1,1024,0,1,1,590
39976,554,2,1,1024,0,1,1,591
39976,5900,2,1,1024,0,1,1,592
39976,1720,2,1,1024,0,1,1,593
39976,23,2,1,1024,0,1,1,594
135,39976,20,7,0,0,1,1,595
110,39976,20,7,0,0,1,1,596
111,39976,20,7,0,0,1,1,597
39976,139,2,1,1024,0,1,1,598
39976,21,2,1,1024,0,1,1,599
39976,1723,2,1,1024,0,1,1,600
113,39976,20,7,0,0,1,1,601
199,39976,20,7,0,0,1,1,602
22,39976,20,7,0,0,1,1,603
39976,49155,2,1,1024,0,1,1,604
39976,515,2,1,1024,0,1,1,605
39976,5432,2,1,1024,0,1,1,606
25,39976,20,7,0,0,1,1,607
554,39976,20,7,0,0,1,1,608
5900,39976,20,7,0,0,1,1,609
1720,39976,20,7,0,0,1,1,610
23,39976,20,7,0,0,1,1,611
139,39976,20,7,0,0,1,1,612
21,39976,20,7,0,0,1,1,613
1723,39976,20,7,0,0,1,1,614
49155,39976,20,7,0,0,1,1,615
515,39976,20,7,0,0,1,1,616
5432,39976,20,7,0,0,1,1,617
39976,5190,2,1,1024,0,1,1,618
39976,444,2,1,1024,0,1,1,619
39976,4899,2,1,1024,0,1,1,620
39976,106,2,1,1024,0,1,1,621
39976,3000,2,1,1024,0,1,1,622
5190,39976,20,7,0,0,1,1,623
444,39976,20,7,0,0,1,1,624
39976,81,2,1,1024,0,1,1,625
39976,8081,2,1,1024,0,1,1,626
4899,39976,20,7,0,0,1,1,627
106,39976,20,7,0,0,1,1,628
39976,13,2,1,1024,0,1,1,629
39976,1027,2,1,1024,0,1,1,630
39976,1900,2,1,1024,0,1,1,631
39976,88,2,1,1024,0,1,1,632
3000,39976,20,7,0,0,1,1,633
39976,990,2,1,1024,0,1,1,634
39976,49157,2,1,1024,0,1,1,635
39976,8443,2,1,1024,0,1,1,636
81,39976,20,7,0,0,1,1,637
8081,39976,20,7,0,0,1,1,638
39976,1029,2,1,1024,0,1,1,639
39976,26,2,1,1024,0,1,1,640
39976,37,2,1,1024,0,1,1,641
39976,1433,2,1,1024,0,1,1,642
39976,548,2,1,1024,0,1,1,643
13,39976,20,7,0,0,1,1,644
1027,39976,20,7,0,0,1,1,645
39976,2000,2,1,1024,0,1,1,646
39976,1110,2,1,1024,0,1,1,647
39976,2121,2,1,1024,0,1,1,648
39976,389,2,1,1024,0,1,1,649
1900,39976,20,7,0,0,1,1,650
88,39976,20,7,0,0,1,1,651
990,39976,20,7,0,0,1,1,652
49157,39976,20,7,0,0,1,1,653
39976,5060,2,1,1024,0,1,1,654
39976,2717,2,1,1024,0,1,1,655
39976,32768,2,1,1024,0,1,1,656
39976,9100,2,1,1024,0,1,1,657
8443,39976,20,7,0,0,1,1,658
39976,10000,2,1,1024,0,1,1,659
39976,1755,2,1,1024,0,1,1,660
39976,119,2,1,1024,0,1,1,661
39976,49156,2,1,1024,0,1,1,662
1029,39976,20,7,0,0,1,1,663
26,39976,20,7,0,0,1,1,664
39976,5000,2,1,1024,0,1,1,665
39976,144,2,1,1024,0,1,1,666
39976,1026,2,1,1024,0,1,1,667
39976,631,2,1,1024,0,1,1,668
39976,5009,2,1,1024,0,1,1,669
37,39976,20,7,0,0,1,1,670
1433,39976,20,7,0,0,1,1,671
548,39976,20,7,0,0,1,1,672
2000,39976,20,7,0,0,1,1,673
39976,6001,2,1,1024,0,1,1,674
39976,5800,2,1,1024,0,1,1,675
39976,514,2,1,1024,0,1,1,676
39976,6646,2,1,1024,0,1,1,677
1110,39976,20,7,0,0,1,1,678
2121,39976,20,7,0,0,1,1,679
389,39976,20,7,0,0,1,1,680
5060,39976,20,7,0,0,1,1,681
2717,39976,20,7,0,0,1,1,682
32768,39976,20,7,0,0,1,1,683
9100,39976,20,7,0,0,1,1,684
10000,39976,20,7,0,0,1,1,685
1755,39976,20,7,0,0,1,1,686
119,39976,20,7,0,0,1,1,687
